Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb_dds_top.uut.u_sine_output.u_blk_mem.blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_12_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Time:                    0 | DAC Data: xxxx
Time:              4599000 | DAC Data: 2200
Time:              4609000 | DAC Data: 2400
Time:              4619000 | DAC Data: 25f8
Time:              4629000 | DAC Data: 27f0
Time:              4639000 | DAC Data: 29e0
Time:              4649000 | DAC Data: 2bc0
Time:              4659000 | DAC Data: 2d98
Time:              4669000 | DAC Data: 2f68
Time:              4679000 | DAC Data: 3120
Time:              4689000 | DAC Data: 32c8
Time:              4699000 | DAC Data: 3460
Time:              4709000 | DAC Data: 35e8
Time:              4719000 | DAC Data: 3748
Time:              4729000 | DAC Data: 38a0
Time:              4739000 | DAC Data: 39e0
Time:              4749000 | DAC Data: 3b00
Time:              4759000 | DAC Data: 3c00
Time:              4769000 | DAC Data: 3cf0
Time:              4779000 | DAC Data: 3db8
Time:              4789000 | DAC Data: 3e68
Time:              4799000 | DAC Data: 3ef8
Time:              4809000 | DAC Data: 3f68
Time:              4819000 | DAC Data: 3fb8
Time:              4829000 | DAC Data: 3fe8
Time:              4839000 | DAC Data: 3ff8
Time:              4849000 | DAC Data: 3fe8
Time:              4859000 | DAC Data: 3fb8
Time:              4869000 | DAC Data: 3f68
Time:              4879000 | DAC Data: 3ef8
Time:              4889000 | DAC Data: 3e68
Time:              4899000 | DAC Data: 3db8
Time:              4909000 | DAC Data: 3cf0
Time:              4919000 | DAC Data: 3c00
Time:              4929000 | DAC Data: 3b00
Time:              4939000 | DAC Data: 39e0
Time:              4949000 | DAC Data: 38a0
Time:              4959000 | DAC Data: 3748
Time:              4969000 | DAC Data: 35e8
Time:              4979000 | DAC Data: 3460
Time:              4989000 | DAC Data: 32c8
Time:              4999000 | DAC Data: 3120
Time:              5009000 | DAC Data: 2f68
Time:              5019000 | DAC Data: 2d98
Time:              5029000 | DAC Data: 2bc0
Time:              5039000 | DAC Data: 29e0
Time:              5049000 | DAC Data: 27f0
Time:              5059000 | DAC Data: 25f8
Time:              5069000 | DAC Data: 2400
Time:              5079000 | DAC Data: 1e00
Time:              5089000 | DAC Data: 2000
Time:              5099000 | DAC Data: 1e00
Time:              5109000 | DAC Data: 1c00
Time:              5119000 | DAC Data: 1a08
Time:              5129000 | DAC Data: 1810
Time:              5139000 | DAC Data: 1620
Time:              5149000 | DAC Data: 1440
Time:              5159000 | DAC Data: 1268
Time:              5169000 | DAC Data: 1098
Time:              5179000 | DAC Data: 0ee0
Time:              5189000 | DAC Data: 0d38
Time:              5199000 | DAC Data: 0ba0
Time:              5209000 | DAC Data: 0a18
Time:              5219000 | DAC Data: 08b8
Time:              5229000 | DAC Data: 0760
Time:              5239000 | DAC Data: 0620
Time:              5249000 | DAC Data: 0500
Time:              5259000 | DAC Data: 0400
Time:              5269000 | DAC Data: 0310
Time:              5279000 | DAC Data: 0248
Time:              5289000 | DAC Data: 0198
Time:              5299000 | DAC Data: 0108
Time:              5309000 | DAC Data: 0098
Time:              5319000 | DAC Data: 0048
Time:              5329000 | DAC Data: 0018
Time:              5339000 | DAC Data: 0008
Time:              5349000 | DAC Data: 0018
Time:              5359000 | DAC Data: 0048
Time:              5369000 | DAC Data: 0098
Time:              5379000 | DAC Data: 0108
Time:              5389000 | DAC Data: 0198
Time:              5399000 | DAC Data: 0248
Time:              5409000 | DAC Data: 0310
Time:              5419000 | DAC Data: 0400
Time:              5429000 | DAC Data: 0500
Time:              5439000 | DAC Data: 0620
Time:              5449000 | DAC Data: 0760
Time:              5459000 | DAC Data: 08b8
Time:              5469000 | DAC Data: 0a18
Time:              5479000 | DAC Data: 0ba0
Time:              5489000 | DAC Data: 0d38
Time:              5499000 | DAC Data: 0ee0
Time:              5509000 | DAC Data: 1098
Time:              5519000 | DAC Data: 1268
Time:              5529000 | DAC Data: 1440
Time:              5539000 | DAC Data: 1620
Time:              5549000 | DAC Data: 1810
Time:              5559000 | DAC Data: 1a08
Time:              5569000 | DAC Data: 1c00
Time:              5579000 | DAC Data: 2200
Time:              5589000 | DAC Data: 2000
Time:              5599000 | DAC Data: 2200
Time:              5609000 | DAC Data: 2400
Time:              5619000 | DAC Data: 25f8
Time:              5629000 | DAC Data: 27f0
Time:              5639000 | DAC Data: 29e0
Time:              5649000 | DAC Data: 2bc0
Time:              5659000 | DAC Data: 2d98
Time:              5669000 | DAC Data: 2f68
Time:              5679000 | DAC Data: 3120
Time:              5689000 | DAC Data: 32c8
Time:              5699000 | DAC Data: 3460
Time:              5709000 | DAC Data: 35e8
Time:              5719000 | DAC Data: 3748
Time:              5729000 | DAC Data: 38a0
Time:              5739000 | DAC Data: 39e0
Time:              5749000 | DAC Data: 3b00
Time:              5759000 | DAC Data: 3c00
Time:              5769000 | DAC Data: 3cf0
Time:              5779000 | DAC Data: 3db8
Time:              5789000 | DAC Data: 3e68
Time:              5799000 | DAC Data: 3ef8
Time:              5809000 | DAC Data: 3f68
Time:              5819000 | DAC Data: 3fb8
Time:              5829000 | DAC Data: 3fe8
Time:              5839000 | DAC Data: 3ff8
Time:              5849000 | DAC Data: 3fe8
Time:              5859000 | DAC Data: 3fb8
Time:              5869000 | DAC Data: 3f68
Time:              5879000 | DAC Data: 3ef8
Time:              5889000 | DAC Data: 3e68
Time:              5899000 | DAC Data: 3db8
Time:              5909000 | DAC Data: 3cf0
Time:              5919000 | DAC Data: 3c00
Time:              5929000 | DAC Data: 3b00
Time:              5939000 | DAC Data: 39e0
Time:              5949000 | DAC Data: 38a0
Time:              5959000 | DAC Data: 3748
Time:              5969000 | DAC Data: 35e8
Time:              5979000 | DAC Data: 3460
Time:              5989000 | DAC Data: 32c8
Time:              5999000 | DAC Data: 3120
Time:              6009000 | DAC Data: 2f68
Time:              6019000 | DAC Data: 2d98
Time:              6029000 | DAC Data: 2bc0
Time:              6039000 | DAC Data: 29e0
Time:              6049000 | DAC Data: 27f0
Time:              6059000 | DAC Data: 25f8
Time:              6069000 | DAC Data: 2400
Time:              6079000 | DAC Data: 1e00
Time:              6089000 | DAC Data: 2000
Time:              6099000 | DAC Data: 1e00
Time:              6109000 | DAC Data: 1c00
Time:              6119000 | DAC Data: 1a08
Time:              6129000 | DAC Data: 1810
Time:              6139000 | DAC Data: 1620
Time:              6149000 | DAC Data: 1440
Time:              6159000 | DAC Data: 1268
Time:              6169000 | DAC Data: 1098
Time:              6179000 | DAC Data: 0ee0
Time:              6189000 | DAC Data: 0d38
Time:              6199000 | DAC Data: 0ba0
Time:              6209000 | DAC Data: 0a18
Time:              6219000 | DAC Data: 08b8
Time:              6229000 | DAC Data: 0760
Time:              6239000 | DAC Data: 0620
Time:              6249000 | DAC Data: 0500
Time:              6259000 | DAC Data: 0400
Time:              6269000 | DAC Data: 0310
Time:              6279000 | DAC Data: 0248
Time:              6289000 | DAC Data: 0198
Time:              6299000 | DAC Data: 0108
Time:              6309000 | DAC Data: 0098
Time:              6319000 | DAC Data: 0048
Time:              6329000 | DAC Data: 0018
Time:              6339000 | DAC Data: 0008
Time:              6349000 | DAC Data: 0018
Time:              6359000 | DAC Data: 0048
Time:              6369000 | DAC Data: 0098
Time:              6379000 | DAC Data: 0108
Time:              6389000 | DAC Data: 0198
Time:              6399000 | DAC Data: 0248
Time:              6409000 | DAC Data: 0310
Time:              6419000 | DAC Data: 0400
Time:              6429000 | DAC Data: 0500
Time:              6439000 | DAC Data: 0620
Time:              6449000 | DAC Data: 0760
Time:              6459000 | DAC Data: 08b8
Time:              6469000 | DAC Data: 0a18
Time:              6479000 | DAC Data: 0ba0
Time:              6489000 | DAC Data: 0d38
Time:              6499000 | DAC Data: 0ee0
Time:              6509000 | DAC Data: 1098
Time:              6519000 | DAC Data: 1268
Time:              6529000 | DAC Data: 1440
Time:              6539000 | DAC Data: 1620
Time:              6549000 | DAC Data: 1810
Time:              6559000 | DAC Data: 1a08
Time:              6569000 | DAC Data: 1c00
Time:              6579000 | DAC Data: 2200
Time:              6589000 | DAC Data: 2000
Time:              6599000 | DAC Data: 2200
Time:              6609000 | DAC Data: 2400
Time:              6619000 | DAC Data: 25f8
Time:              6629000 | DAC Data: 27f0
Time:              6639000 | DAC Data: 29e0
Time:              6649000 | DAC Data: 2bc0
Time:              6659000 | DAC Data: 2d98
Time:              6669000 | DAC Data: 2f68
Time:              6679000 | DAC Data: 3120
Time:              6689000 | DAC Data: 32c8
Time:              6699000 | DAC Data: 3460
Time:              6709000 | DAC Data: 35e8
Time:              6719000 | DAC Data: 3748
Time:              6729000 | DAC Data: 38a0
Time:              6739000 | DAC Data: 39e0
Time:              6749000 | DAC Data: 3b00
Time:              6759000 | DAC Data: 3c00
Time:              6769000 | DAC Data: 3cf0
Time:              6779000 | DAC Data: 3db8
Time:              6789000 | DAC Data: 3e68
Time:              6799000 | DAC Data: 3ef8
Time:              6809000 | DAC Data: 3f68
Time:              6819000 | DAC Data: 3fb8
Time:              6829000 | DAC Data: 3fe8
Time:              6839000 | DAC Data: 3ff8
Time:              6849000 | DAC Data: 3fe8
Time:              6859000 | DAC Data: 3fb8
Time:              6869000 | DAC Data: 3f68
Time:              6879000 | DAC Data: 3ef8
Time:              6889000 | DAC Data: 3e68
Time:              6899000 | DAC Data: 3db8
Time:              6909000 | DAC Data: 3cf0
Time:              6919000 | DAC Data: 3c00
Time:              6929000 | DAC Data: 3b00
Time:              6939000 | DAC Data: 39e0
Time:              6949000 | DAC Data: 38a0
Time:              6959000 | DAC Data: 3748
Time:              6969000 | DAC Data: 35e8
Time:              6979000 | DAC Data: 3460
Time:              6989000 | DAC Data: 32c8
Time:              6999000 | DAC Data: 3120
Time:              7009000 | DAC Data: 2f68
Time:              7019000 | DAC Data: 2d98
Time:              7029000 | DAC Data: 2bc0
Time:              7039000 | DAC Data: 29e0
Time:              7049000 | DAC Data: 27f0
Time:              7059000 | DAC Data: 25f8
Time:              7069000 | DAC Data: 2400
Time:              7079000 | DAC Data: 1e00
Time:              7089000 | DAC Data: 2000
Time:              7099000 | DAC Data: 1e00
Time:              7109000 | DAC Data: 1c00
Time:              7119000 | DAC Data: 1a08
Time:              7129000 | DAC Data: 1810
Time:              7139000 | DAC Data: 1620
Time:              7149000 | DAC Data: 1440
Time:              7159000 | DAC Data: 1268
Time:              7169000 | DAC Data: 1098
Time:              7179000 | DAC Data: 0ee0
Time:              7189000 | DAC Data: 0d38
Time:              7199000 | DAC Data: 0ba0
Time:              7209000 | DAC Data: 0a18
Time:              7219000 | DAC Data: 08b8
Time:              7229000 | DAC Data: 0760
Time:              7239000 | DAC Data: 0620
Time:              7249000 | DAC Data: 0500
Time:              7259000 | DAC Data: 0400
Time:              7269000 | DAC Data: 0310
Time:              7279000 | DAC Data: 0248
Time:              7289000 | DAC Data: 0198
Time:              7299000 | DAC Data: 0108
Time:              7309000 | DAC Data: 0098
Time:              7319000 | DAC Data: 0048
Time:              7329000 | DAC Data: 0018
Time:              7339000 | DAC Data: 0008
Time:              7349000 | DAC Data: 0018
Time:              7359000 | DAC Data: 0048
Time:              7369000 | DAC Data: 0098
Time:              7379000 | DAC Data: 0108
Time:              7389000 | DAC Data: 0198
Time:              7399000 | DAC Data: 0248
Time:              7409000 | DAC Data: 0310
Time:              7419000 | DAC Data: 0400
Time:              7429000 | DAC Data: 0500
Time:              7439000 | DAC Data: 0620
Time:              7449000 | DAC Data: 0760
Time:              7459000 | DAC Data: 08b8
Time:              7469000 | DAC Data: 0a18
Time:              7479000 | DAC Data: 0ba0
Time:              7489000 | DAC Data: 0d38
Time:              7499000 | DAC Data: 0ee0
Time:              7509000 | DAC Data: 1098
Time:              7519000 | DAC Data: 1268
Time:              7529000 | DAC Data: 1440
Time:              7539000 | DAC Data: 1620
Time:              7549000 | DAC Data: 1810
Time:              7559000 | DAC Data: 1a08
Time:              7569000 | DAC Data: 1c00
Time:              7579000 | DAC Data: 2200
Time:              7589000 | DAC Data: 2000
Time:              7599000 | DAC Data: 2200
Time:              7609000 | DAC Data: 2400
Time:              7619000 | DAC Data: 25f8
Time:              7629000 | DAC Data: 27f0
Time:              7639000 | DAC Data: 29e0
Time:              7649000 | DAC Data: 2bc0
Time:              7659000 | DAC Data: 2d98
Time:              7669000 | DAC Data: 2f68
Time:              7679000 | DAC Data: 3120
Time:              7689000 | DAC Data: 32c8
Time:              7699000 | DAC Data: 3460
Time:              7709000 | DAC Data: 35e8
Time:              7719000 | DAC Data: 3748
Time:              7729000 | DAC Data: 38a0
Time:              7739000 | DAC Data: 39e0
Time:              7749000 | DAC Data: 3b00
Time:              7759000 | DAC Data: 3c00
Time:              7769000 | DAC Data: 3cf0
Time:              7779000 | DAC Data: 3db8
Time:              7789000 | DAC Data: 3e68
Time:              7799000 | DAC Data: 3ef8
Time:              7809000 | DAC Data: 3f68
Time:              7819000 | DAC Data: 3fb8
Time:              7829000 | DAC Data: 3fe8
Time:              7839000 | DAC Data: 3ff8
Time:              7849000 | DAC Data: 3fe8
Time:              7859000 | DAC Data: 3fb8
Time:              7869000 | DAC Data: 3f68
Time:              7879000 | DAC Data: 3ef8
Time:              7889000 | DAC Data: 3e68
Time:              7899000 | DAC Data: 3db8
Time:              7909000 | DAC Data: 3cf0
Time:              7919000 | DAC Data: 3c00
Time:              7929000 | DAC Data: 3b00
Time:              7939000 | DAC Data: 39e0
Time:              7949000 | DAC Data: 38a0
Time:              7959000 | DAC Data: 3748
Time:              7969000 | DAC Data: 35e8
Time:              7979000 | DAC Data: 3460
Time:              7989000 | DAC Data: 32c8
Time:              7999000 | DAC Data: 3120
Time:              8009000 | DAC Data: 2f68
Time:              8019000 | DAC Data: 2d98
Time:              8029000 | DAC Data: 2bc0
